Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
115	0.421327261	0.716991665	0.503479204		115	23	24.14027386	41.08059632	28.84723345	23	23.71379819	40.07532357	31.29767342
116	0.414859982	0.695722047	0.538429409		116	23.2	23.76972608	39.861937	30.84973272	23.2	23.73057656	40.0113076	31.16329121
117	0.486625423	0.603352351	0.594896197		117	23.4	27.88158296	34.5695433	34.08504132	23.4	24.97587848	38.37877831	32.03981625
118	0.507267793	0.61037166	0.586565912		118	23.6	29.06430364	34.97172008	33.60775117	23.6	26.20240603	37.35666084	32.51019672
119	0.449835161	0.533918847	0.584172554		119	23.8	25.7736562	30.59129653	33.47062184	23.8	26.07378108	35.32705155	32.79832426
120	0.539320324	0.568412834	0.58223131		120	24	30.90077839	32.5676564	33.35939674	24	27.52188027	34.499233	32.966646
121	0.49242515	0.533865732	0.580997826		121	24.2	28.2138828	30.58825328	33.28872332	24.2	27.72948103	33.32593909	33.0632692
122	0.443256597	0.608543706	0.682908269		122	24.4	25.39673224	34.86698599	39.12776159	24.4	27.02965639	33.78825316	34.88261692
123	0.489246497	0.600140888	0.645573277		123	24.6	28.03175943	34.38553998	36.98862413	24.6	27.3302873	33.9674392	35.51441908
124	0.522757612	0.617552269	0.63982109		124	24.8	29.95180488	35.38313865	36.65904809	24.8	28.11674257	34.39214904	35.85780778
125	0.475442172	0.645711632	0.672939518		125	25	27.24082986	36.99655128	38.55659427	25	27.85396876	35.17346971	36.66744373
126	0.562016162	0.696565947	0.710805693		126	25.2	32.20115412	39.91028892	40.72616628	25.2	29.15812437	36.59451547	37.88506049
127	0.484141245	0.7107823	0.676583736		127	25.4	27.73925003	40.72482596	38.76539256	25.4	28.73246207	37.83360862	38.14916012
128	0.551233828	0.692221576	0.659315998		128	25.6	31.58337189	39.66137479	37.77602405	25.6	29.58773502	38.38193847	38.0372193
129	0.583131884	0.675955866	0.650904951		129	25.8	33.41099587	38.72941823	37.29410656	25.8	30.73471327	38.4861824	37.81428548
130	0.549453391	0.705980547	0.658798235		130	26	31.48136033	40.44970576	37.7463584	26	30.95870739	39.07523941	37.79390736
131	0.538252982	0.730016566	0.694399087		131	26.2	30.83962419	41.82686822	39.78613699	26.2	30.92298243	39.90072805	38.39157625
132	0.586985159	0.739351168	0.76790094		132	26.4	33.63177224	42.36170151	43.99748297	26.4	31.73561937	40.63902009	40.07334826
133	0.577225343	0.715291245	0.700291141		133	26.6	33.07257599	40.98316945	40.1237268	26.6	32.13670636	40.7422649	40.08846182
134	0.563398487	0.731337186	0.732559676		134	26.8	32.28035552	41.90253415	41.97257766	26.8	32.1798011	41.09034567	40.65369657
